id,account_name,account_type,employee_name,created_date,year,month_number,month_name,day_name,modified_date,inactive_days,account_status
2e4c8632-b66c-65e7-6bdd-663f0eb752c6,HyperKurve,Reseller,"Amit Singh",2024-05-11,2024,5,May,Saturday,2026-02-19,99,Inactive
30b14cd3-c912-a1fd-dcc4-5e0b3c6bc7d1,"Tikmany Telesystems Pvt Ltd",Reseller,"Amit Singh",2019-12-31,2019,12,December,Tuesday,2023-10-27,945,Inactive
4f6e207d-ebd1-5781-ceb5-5fc9d11221cb,"IRIS GLOBAL",Customer,"Amit Singh",2020-12-04,2020,12,December,Friday,2026-03-31,59,Active
8e310eaf-6fad-78b4-22c1-5fbe069ab32e,"Newtech Computers",Partner,"Amit Singh",2020-11-25,2020,11,November,Wednesday,2020-12-09,1997,Inactive
dbc3c0eb-9ea0-4f91-8cdf-dd02f7c3a02d,Juan,Customer,"Amit Singh",2026-01-06,2026,1,January,Tuesday,2026-01-06,143,Inactive
f1a12266-c784-080f-5be7-5e412a904759,"Peerless, Inc.",Customer,"Amit Singh",2020-02-10,2020,2,February,Monday,2020-02-10,2300,Inactive
2c60069b-c128-151d-6850-5c133d98cde9,"NASC - North American Services Center",Customer," ",2018-12-14,2018,12,December,Friday,2019-12-13,2359,Inactive
2db25997-d514-d6ff-e5e5-5de4a01a7aac,"CRM Outfitters, LLC",," ",2019-12-02,2019,12,December,Monday,2019-12-02,2370,Inactive
16590fbb-13e8-ad80-a9bf-655e0e795d15,"Millennium Communications Inc.",Reseller,"Amit Singh",2023-11-22,2023,11,November,Wednesday,2023-11-22,919,Inactive
1701cd9e-4c41-c539-8618-64b51526a750,Ideadunes,Reseller,"Amit Singh",2023-07-17,2023,7,July,Monday,2023-07-17,1047,Inactive
19b807eb-640d-0d99-8cdc-66d00acc9dbb,"Moka Business Pvt Ltd",Customer,"Bhavin Patel",2024-08-29,2024,8,August,Thursday,2024-09-17,619,Inactive
30111ae9-dcfa-8116-61cc-681c40f1b38f,"MAHAPHANT INDIA PRIVATE LIMITED",Customer,"Bhavin Patel",2025-05-08,2025,5,May,Thursday,2025-05-08,386,Inactive
316abd2f-3e2c-db4f-93c7-669e2b6d6f0c,"Hadron Techs Pvt Ltd",Customer,"Bhavin Patel",2024-07-22,2024,7,July,Monday,2024-07-22,676,Inactive
3431cfd9-fdc1-a685-bebf-63283b2061d9,"Chirp Technologies",Reseller,"Amit Singh",2022-09-19,2022,9,September,Monday,2022-09-19,1348,Inactive
3931af02-a620-d832-c040-62f0c30df990,"Disaster Management Cell, Daman",Customer,"Bhavin Patel",2022-08-08,2022,8,August,Monday,2022-08-18,1380,Inactive
3a544dbe-6edc-8c90-5fe2-6027a2a51bb4,"Khushi Infotech",Unknown,"Bhavin Patel",2021-02-13,2021,2,February,Saturday,2021-02-13,1931,Inactive
3ac53d40-0a52-d78c-0e78-601e992444b3,"Intellect Design Arena",Reseller,"Bhavin Patel",2021-02-06,2021,2,February,Saturday,2021-02-08,1936,Inactive
449db10d-b0b6-f0a4-7c91-6854ec543884,"VIVA COMPOSITE PANEL PRIVATE LIMITED",Customer,"Bhavin Patel",2025-06-20,2025,6,June,Friday,2025-06-20,343,Inactive
46520202-e424-291d-d1d1-67ee5c0731c4,"Prudent ARC Limited",Customer,"Bhavin Patel",2025-04-03,2025,4,April,Thursday,2025-04-03,421,Inactive
46e5407b-682d-2c6d-c79d-644b89015795,"AVVAD Technologies Pvt Ltd.",Customer,"Bhavin Patel",2023-04-28,2023,4,April,Friday,2023-05-17,1108,Inactive
4f0f6263-eb61-f1bd-3600-65741e00e3f0,"La Centrale Informatique Sarl",Customer,"Amit Singh",2023-12-09,2023,12,December,Saturday,2025-04-29,395,Inactive
5360ec0a-b2fe-424b-82db-12d138923b30,"RSSOM Power Solution (OPC) Private Limited",,"Amit Singh",2025-12-26,2025,12,December,Friday,2025-12-26,154,Inactive
5b4f2b2b-906c-24bd-3c1a-659d505c08f0,"Asiaction Sourcing",Reseller,"Amit Singh",2024-01-09,2024,1,January,Tuesday,2024-01-09,871,Inactive
5eed6bc6-bfdf-2a77-bf34-62b1768d4db3,"Elmex Control Pvt Ltd",Customer,"Amit Singh",2022-06-21,2022,6,June,Tuesday,2022-08-26,1372,Inactive
6937b02d-1b18-9f84-4143-673ece3a5eda,"MLA Group Of Industries",Customer,"Bhavin Patel",2024-11-21,2024,11,November,Thursday,2024-11-21,554,Inactive
6bfcbccb-64bf-6116-d8d1-64b54797e3cb,"Eurekacnt  Pty Ltd",Reseller,"Amit Singh",2023-07-17,2023,7,July,Monday,2023-07-17,1047,Inactive
79b00a19-ca44-63c3-f666-6368da13fb70,"PEASS Industrial Eng.",Customer,"Bhavin Patel",2022-11-07,2022,11,November,Monday,2022-11-07,1299,Inactive
7c470b87-4dca-4c12-7857-652fc70307b2,"TOTAL SOLUTIONS",Customer,"Amit Singh",2023-10-18,2023,10,October,Wednesday,2023-10-18,954,Inactive
88e619c3-13f5-2a14-d7d7-663df14d5fe4,"Taduka (Pty) Ltd",,"Amit Singh",2024-05-10,2024,5,May,Friday,2024-05-10,749,Inactive
8b41e5b8-c694-1563-5274-661d2952ed96,"Anmar Tech. & Trading Co.",Reseller,"Amit Singh",2024-04-15,2024,4,April,Monday,2024-04-15,774,Inactive
9ca6ae2d-1240-7d3e-c7f6-63768e555904,"test demo",,"Bhavin Patel",2022-11-17,2022,11,November,Thursday,2026-01-12,137,Inactive
a0290fc0-a263-634d-38bb-6899cc17431b,"TradeSmart Fintech Securities Limited",Customer,"Bhavin Patel",2025-08-11,2025,8,August,Monday,2025-10-06,235,Inactive
a409916f-6d12-400c-dbb6-65895e5567e6,"NIrmala LTD",Customer,"Amit Singh",2023-12-25,2023,12,December,Monday,2023-12-25,886,Inactive
ae2f294e-2779-8a9e-4b42-647074d5df1d,"Infinity Systems",Reseller,"Amit Singh",2023-05-26,2023,5,May,Friday,2023-05-26,1099,Inactive
bea7e2fa-aa3a-afe2-1c99-6322cc096ac0,Lantrasoft,Reseller,"Amit Singh",2022-09-15,2022,9,September,Thursday,2022-09-15,1352,Inactive
c8716b95-27bb-2d69-dc96-636b40f1cec5,"Radha Madhav",Customer,"Amit Singh",2022-11-09,2022,11,November,Wednesday,2022-11-09,1297,Inactive
cdd54213-9006-42f8-b99c-8c7f4533c447,"Unique Fragrances",Customer,"Amit Singh",2026-02-04,2026,2,February,Wednesday,2026-02-05,113,Inactive
d4130ced-5d98-9d6c-7f93-663f4d167673,"Ambit Software Pvt Ltd",Reseller,"Amit Singh",2024-05-11,2024,5,May,Saturday,2024-05-11,748,Inactive
d4853fcb-1dfc-1128-6fe8-6332a822d47b,"NRJ Digital Solutions",Reseller,"Amit Singh",2022-09-27,2022,9,September,Tuesday,2022-09-27,1340,Inactive
d64bb07d-4758-2f93-bca2-6655a7879fc8,qualipro1,Customer,"Amit Singh",2024-05-28,2024,5,May,Tuesday,2024-05-28,731,Inactive
e9b70ca5-976f-e693-e7c2-646b6789d852,"IBN Technologies Limited",Partner,"Amit Singh",2023-05-22,2023,5,May,Monday,2023-05-22,1103,Inactive
f1aaa35e-de87-9941-023c-648960f91c6b,"Quest consultancy pvt ltd",Other,"Bhavin Patel",2023-06-14,2023,6,June,Wednesday,2023-06-14,1080,Inactive
ff5c0710-2acf-6a8e-9875-67d0228ee79d,"Winworld Energy Ltd",Customer,"Bhavin Patel",2025-03-11,2025,3,March,Tuesday,2025-03-18,437,Inactive
4980aaa8-1dd6-9e97-0713-6561ac9ef23d,"test 1",,"Sanjay Gund",2023-11-25,2023,11,November,Saturday,2023-11-25,916,Inactive
5b3ca3a2-6252-2487-2b63-5bee6718334b,"Dreamer Technologies",Partner," ",2018-11-16,2018,11,November,Friday,2025-04-29,395,Inactive
7aa487e7-a9cb-3cfe-e123-6561afdf9b55,test3,,"Sanjay Gund",2023-11-25,2023,11,November,Saturday,2023-11-25,916,Inactive
